,id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
0,826691.0,Suite 7 - Suites Condesa Mexico,4326326,Rodrigo,CuauhtÃ©moc,19.40915,-99.17321,Entire home/apt,850.0,180.0,18.0,11/05/2019,0.17,6.0,325.0,0.0
1,35797.0,Villa Dante,153786,Dici,Cuajimalpa de Morelos,19.38283,-99.27178,Entire home/apt,4056.0,1.0,0.0,31/12/2022,1.5860325810283387,1.0,363.0,0.0
2,52390579.0,"Casa en privada con  vigilancia, estacionamiento.",424060909,Maria Carmen Marta,Cuajimalpa de Morelos,19.395126,-99.277374,Private room,752.0,1.0,0.0,31/12/2022,1.5860325810283387,1.0,365.0,0.0
3,826760.0,Suite 12 - Suites Condesa Mexico,4326326,Rodrigo,CuauhtÃ©moc,19.40915,-99.17321,Entire home/apt,971.0,4.0,17.0,15/03/2020,0.15,6.0,203.0,0.0
4,44616.0,CONDESA HAUS  B&B,196253,Condesa Haus Bed & Breakfast  CDMX,CuauhtÃ©moc,19.41162,-99.17794,Entire home/apt,18000.0,1.0,56.0,05/06/2022,0.43,11.0,347.0,7.0
5,828714.0,Apartment with Internet & 2 cable TV's,4344353,Miriam,CoyoacÃ¡n,19.34183,-99.15533,Entire home/apt,608.0,1.0,25.0,21/05/2018,0.36,1.0,140.0,0.0
6,15511977.0,La casa de Abraham,93364273,Abraham,Miguel Hidalgo,19.41095,-99.24418,Private room,800.0,1.0,1.0,19/03/2018,0.02,1.0,179.0,0.0
7,34776449.0,â The attic â Panoramic garden 10 min CitiBanamex,2954577,Lazaro Alejandro,Miguel Hidalgo,19.42641,-99.22591,Private room,1779.0,1.0,5.0,14/03/2022,0.14,4.0,222.0,1.0
8,45767104.0,BONITO DEPARTAMENTO NUEVO  LOMAS DE  TECAMACHALCO,371036285,Luis,Miguel Hidalgo,19.41947,-99.24063,Private room,500.0,7.0,0.0,31/12/2022,1.5860325810283387,1.0,365.0,0.0
9,832805.0,ROOMS CASA INDIGO WITH TERRACE AT CITY CENTER,3777702,Abraham,CuauhtÃ©moc,19.44262,-99.14566,Private_room,444.0,1.0,125.0,26/01/2022,1.08,6.0,288.0,2.0
10,28466997.0,Casa de LulÃº,214885342,LulÃº,Cuajimalpa de Morelos,19.39683,-99.27678,Private room,1000.0,1.0,2.0,02/12/2021,0.05,1.0,365.0,1.0
11,56074.0,Great space in historical San Rafael,265650,Maris,CuauhtÃ©moc,19.43977,-99.15605,Entire home/apt,650.0,2.0,72.0,19/06/2022,0.53,2.0,344.0,14.0
12,844818.0,Well located on calm neighborhood,4410326,Fernando,Benito JuÃ¡rez,19.38336,-99.18197,Private room,460.0,2.0,8.0,24/11/2019,0.07,1.0,269.0,0.0
13,2056622.0,CÃ³modo y espacioso loft en CoyoacÃ¡n,10531228,Maria,CoyoacÃ¡n,19.35585,-99.16315,Entire home/apt,1602.0,2.0,13.0,03/09/2019,0.19,3.0,290.0,0.0
14,865012.0,Business Suite RED near Reforma Av.,3850198,Hermann,CoyoacÃ¡n,19.43078,-99.17011,Hotel room,1111.0,2.0,31.0,01/01/2022,0.27,10.0,356.0,0.0
16,58955.0,Entire beautiful duplex in la Roma,282620,Laura,CuauhtÃ©moc,19.42113,-99.15955,Entire home/apt,2019.0,7.0,45.0,06/01/2022,0.35,1.0,351.0,3.0
17,865070.0,"Lovely comfortable room facing garden, Alcatraz",3991683,Leonora,CoyoacÃ¡n,19.34424,-99.17095,Hotel room,608.0,3.0,9.0,20/08/2021,0.08,2.0,351.0,1.0
18,61792.0,Spacious Clean Quiet room (own bath) in la Condesa,299558,Roberto,CuauhtÃ©moc,19.41083,-99.18057,Private room,1212.0,2.0,58.0,15/06/2022,1.03,1.0,159.0,6.0
19,868843.0,Business Suite PURPLE near Reforma,3850198,Hermann,CuauhtÃ©moc,19.43068,-99.17007,Hotel room,1010.0,2.0,41.0,16/04/2022,0.43,10.0,361.0,6.0
20,868986.0,Business Suite BLUE near Reforma Av,3850198,Hermann,CuauhtÃ©moc,19.4306,-99.17074,Entire home/apt,1010.0,2.0,19.0,11/03/2022,0.17,10.0,362.0,1.0
21,869063.0,Business Suite BLACK near Reforma,3850198,Hermann,CuauhtÃ©moc,19.43052,-99.17003,Hotel room,1010.0,2.0,19.0,11/03/2022,0.24,10.0,355.0,1.0
22,2072354.0,Coyoacan Historic Studio Apartment,16840050,MÃ³nica,CoyoacÃ¡n,19.35358,-99.16948,Entire home/apt,900.0,3.0,60.0,09/11/2019,0.58,2.0,320.0,0.0
23,883511.0,Cozy House with Roofterrace group 29 pax Center DF,3777702,Abraham,CuauhtÃ©moc,19.44207,-99.14797,Entire home/apt,2827.0,1.0,209.0,06/06/2022,1.83,6.0,249.0,27.0
24,2075738.0,Amazing apartment Mexico City!!!,2339771,Rodrigo,CuauhtÃ©moc,19.41909,-99.16043,Entire home/apt,2827.0,2.0,65.0,23/05/2022,0.64,1.0,299.0,17.0
25,67703.0,"2 bedroom apt. deco bldg, Condesa",334451,Nicholas,CuauhtÃ©moc,19.41152,-99.16857,Entire home/apt,1918.0,4.0,42.0,19/05/2022,0.33,2.0,325.0,3.0
26,898633.0,"1 bedroom apt BEST location, BALCONY, ROOFTOP 50Mb",4796027,Marco,CuauhtÃ©moc,19.42063,-99.16586,Entire home/apt,1817.0,2.0,51.0,24/12/2021,0.45,2.0,350.0,2.0
27,70644.0,Beautiful light Studio Coyoacan- full equipped !,212109,Trisha,CoyoacÃ¡n,19.35448,-99.16217,Entire home/apt,1197.0,7.0,112.0,20/06/2022,0.89,3.0,153.0,8.0
28,107078.0,NEW  DESIGNER LOFT,540705,Andrea,Miguel Hidalgo,19.43211,-99.19327,Entire home/apt,3796.0,4.0,10.0,05/10/2019,0.14,3.0,208.0,0.0
29,131610.0,MARIA DEL ALMA,647454,Fernando,CoyoacÃ¡n,19.35416,-99.16488,Private room,1379.0,1.0,0.0,31/12/2022,1.5860325810283387,3.0,88.0,0.0
30,913084.0,15 blocks from Paseo de la Reforma,4647293,Martina,Miguel Hidalgo,19.43956,-99.17263,Entire home/apt,2057.0,2.0,139.0,13/06/2022,1.25,2.0,180.0,27.0
31,165772.0,BEST 4BR 4 BH HOUSE IN S. MIGUEL CHAPULTEPEC,790208,Maria Jose,Miguel Hidalgo,19.40826,-99.18659,Entire home/apt,3837.0,2.0,278.0,30/05/2022,2.09,6.0,231.0,8.0
32,2083241.0,Condesa Apartment in 1920s Landmarked Art Nouveau Mansion,8282570,Thomas,CuauhtÃ©moc,19.4153,-99.16763,Entire home/apt,1600.0,3.0,246.0,04/06/2022,2.62,3.0,140.0,41.0
33,939721.0,Radiant Apartment with Terrace in Roma Norte,4821807,Alex,CuauhtÃ©moc,19.42288,-99.15488,Entire home/apt,1572.0,3.0,458.0,06/06/2022,4.09,4.0,171.0,49.0
34,171109.0,Cool room near WTC and Metrobus,816295,Carlos,Benito JuÃ¡rez,19.39675,-99.17581,Private room,306.0,4.0,80.0,15/06/2022,0.79,2.0,361.0,7.0
